b_number,cog_letter,name,gene_product,go_class,go_term,cog_class,cog_category
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,protein serine/threonine kinase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,ATP binding,Cellular Processes and Signaling,Signal transduction mechanisms
b4016,T,acek,isocitrate dehydrogenase kinase/phosphatase,function,[isocitrate dehydrogenase (NADP+)] kinase activity,Cellular Processes and Signaling,Signal transduction mechanisms
b2296,C,acka,acetate kinase,process,single-species biofilm formation on inanimate substrate,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,acetate metabolic process,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,organic acid metabolic process,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,propionate biosynthetic process,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,acetate biosynthetic process,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,acetyl-CoA biosynthetic process,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,process,phosphorylation,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,component,cytoplasm,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,component,cytosol,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,magnesium ion binding,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,metal ion binding,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,"phosphotransferase activity, carboxyl group as acceptor",Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,transferase activity,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,kinase activity,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,zinc ion binding,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,ATP binding,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,nucleotide binding,Metabolism,Energy production and conversion
b2296,C,acka,acetate kinase,function,acetate kinase activity,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,process,citrate metabolic process,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,process,glyoxylate cycle,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,process,anaerobic respiration,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,process,response to oxidative stress,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,process,tricarboxylic acid cycle,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,component,cytosol,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,component,cytoplasm,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,citrate dehydratase activity,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,RNA binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,iron-sulfur cluster binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,lyase activity,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,mRNA binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,mRNA 3'-UTR binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,"4 iron, 4 sulfur cluster binding",Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,metal ion binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,iron ion binding,Metabolism,Energy production and conversion
b1276,C,acna,aconitate hydratase 1,function,aconitate hydratase activity,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,process,regulation of translation,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,process,glyoxylate cycle,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,process,"propionate catabolic process, 2-methylcitrate cycle",Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,process,tricarboxylic acid cycle,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,component,cytosol,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,citrate dehydratase activity,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,RNA binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,iron-sulfur cluster binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,lyase activity,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,mRNA 3'-UTR binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,mRNA binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,"4 iron, 4 sulfur cluster binding",Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,metal ion binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,protein binding,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,aconitate hydratase activity,Metabolism,Energy production and conversion
b0118,C,acnb,AcnB,function,2-methylisocitrate dehydratase activity,Metabolism,Energy production and conversion
b0404,No Annotation,acph,EG11095-MONOMER,process,fatty acid metabolic process,No Annotation,No Annotation
b0404,No Annotation,acph,EG11095-MONOMER,process,lipid metabolic process,No Annotation,No Annotation
b0404,No Annotation,acph,EG11095-MONOMER,process,fatty acid biosynthetic process,No Annotation,No Annotation
b0404,No Annotation,acph,EG11095-MONOMER,component,cytosol,No Annotation,No Annotation
b0404,No Annotation,acph,EG11095-MONOMER,function,hydrolase activity,No Annotation,No Annotation
b0404,No Annotation,acph,EG11095-MONOMER,function,[acyl-carrier-protein] phosphodiesterase activity,No Annotation,No Annotation
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,lipid biosynthetic process,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,fatty acid metabolic process,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,lipid metabolic process,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,response to drug,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,lipid A biosynthetic process,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",process,fatty acid biosynthetic process,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",component,cytosol,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",component,cytoplasm,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",function,lipid binding,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",function,protein binding,Metabolism,Lipid transport and metabolism
b1094,I,acpp,"octanoyl-ACP // ""lipoyl-ACP"" // ""<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""<i>trans</i>-&Delta;<sup>2</sup>-cis-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""succinyl-ACP"" // ""<i>cis</i>-&Delta;<SUP>3</SUP>-decenoyl-ACP"" // ""3-oxo-<i>cis</i>-&Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-hydroxy <i>cis</i> &Delta;<sup>5</sup>-dodecenoyl-ACP"" // ""(3<i>R</i>)-3-hydroxypalmitoyl-ACP"" // ""(3<i>R</i>)-3-hydroxybutanoyl-ACP"" // ""<i>trans</i> oct-2-enoyl-ACP"" // ""<i>trans</i>-but-2-enoyl-ACP"" // ""(3<i>R</i>)-3-hydroxyoctanoyl-ACP"" // ""<i>trans</i>-hexadec-2-enoyl-ACP"" // ""holo-[acyl-carrier protein]"" // ""acyl carrier protein""",function,phosphopantetheine binding,Metabolism,Lipid transport and metabolism
